,Record ID,NHTSA Campaign,Manufacturer Campaign,Vehicle Make,Vehicle Model,Model Year,Vehicle Manufacturer,Recall Type,Recall Component,Manufacture Start Date,Manufacture End Date,Estimated Units,Recall Initiative,Recall Manufacturer,Recall Notification Date,car_value
28887,28888,96V107000,,TOYOTA,COROLLA,1993,"TOYOTA MOTOR CO., LTD.",VEHICLE,AIR BAGS:FRONTAL:SENSOR/CONTROL MODULE,19920601,19950101,627858,ODI,TOYOTA MOTOR CORPORATION,19960508,0.056475169
9086,9087,99V307000,X06/XL7,TOYOTA,CAMRY,1998,"TOYOTA MOTOR CO., LTD.",VEHICLE,STEERING:WHEEL AND HANDLE BAR,19940726,19980709,540037,ODI,TOYOTA MOTOR CORPORATION,19991130,0.333241568
41204,41205,05V225000,50J,TOYOTA,TUNDRA,2004,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,SUSPENSION:FRONT:CONTROL ARM:LOWER BALL JOINT,20010801,20030926,768379,ODI,TOYOTA MOTOR CORPORATION,20050705,0.388991612
61620,61621,05V389000,50N,TOYOTA,T100,1995,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,STEERING:LINKAGES:ROD:RELAY:CONNECTING,19920313,19980730,977839,MFR,TOYOTA MOTOR CORPORATION,20051005,-0.086531662
32424,32425,07V013000,70B,TOYOTA,TUNDRA,2005,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,SUSPENSION:FRONT:CONTROL ARM:LOWER BALL JOINT,20030815,20061117,533124,ODI,TOYOTA MOTOR CORPORATION,20070228,-0.233122315
75872,75873,08V162000,80A 07273,TOYOTA,MATRIX,2004,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,"VISIBILITY:GLASS, SIDE/REAR",20020106,20040318,662178,ODI,TOYOTA MOTOR CORPORATION,20080416,0.036884783
68035,68036,09V388000,90L(TOYOTA)/90LG(LEX,TOYOTA,CAMRY HYBRID,2010,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,VEHICLE SPEED CONTROL:ACCELERATOR PEDAL,,,4445056,MFR,TOYOTA MOTOR CORPORATION,20091231,-0.169325126
73357,73358,10V017000,AOA,TOYOTA,HIGHLANDER,2010,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,VEHICLE SPEED CONTROL:ACCELERATOR PEDAL,20090916,20100126,2230661,MFR,TOYOTA MOTOR CORPORATION,20100205,0.095236866
82965,82966,10V023000,90L,TOYOTA,VENZA,2010,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,VEHICLE SPEED CONTROL:ACCELERATOR PEDAL,,,1126915,MFR,TOYOTA MOTOR CORPORATION,20100330,-0.154709755
74189,74190,10V160000,AOE,TOYOTA,SIENNA,2010,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,STRUCTURE,20030116,20100104,600000,MFR,TOYOTA MOTOR CORPORATION,20101012,0.280107871
70942,70943,10V499000,,LEXUS,RX,2004,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:MASTER CYLINDER",,,728544,MFR,TOYOTA MOTOR CORPORATION,20101115,-0.032352897
81796,81797,10V384000,,TOYOTA,COROLLA,2008,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,ENGINE AND ENGINE COOLING,20040419,20080102,1128659,ODI,TOYOTA MOTOR CORPORATION,20101129,-0.095296079
70958,70959,11V113000,9LG,LEXUS,LX570,2011,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,VEHICLE SPEED CONTROL:ACCELERATOR PEDAL,,,1363244,ODI,TOYOTA MOTOR CORPORATION,20110413,-0.133391292
68410,68411,11V112000,BOA/BLC,TOYOTA,HIGHLANDER HYBRID,2005,"TOYOTA MOTOR NORTH AMERICA, INC.",VEHICLE,VEHICLE SPEED CONTROL:ACCELERATOR PEDAL,20030822,20060726,769379,ODI,TOYOTA MOTOR CORPORATION,20110506,-0.161966409
93428,93429,12V491000,,TOYOTA,CAMRY HYBRID,2009,Toyota Motor Engineering & Manufacturing,VEHICLE,VISIBILITY:POWER WINDOW DEVICES AND CONTROLS,20060901,20081219,2519424,ODI,TOYOTA MOTOR CORPORATION,20121105,0.188826492
94020,94021,12V373000,,LEXUS,HS 250 HYBRID,2010,Toyota Motor Engineering & Manufacturing,VEHICLE,SUSPENSION:REAR,20051001,20100831,780584,ODI,TOYOTA MOTOR CORPORATION,20121130,0.213325133
94390,94391,12V537000,,TOYOTA,PRIUS,2009,Toyota Motor Engineering & Manufacturing,VEHICLE,STEERING,20030805,20090330,669705,MFR,TOYOTA MOTOR CORPORATION,20121220,0.144289658
93993,93994,13V029000,,TOYOTA,COROLLA MATRIX,2004,Toyota Motor Engineering & Manufacturing,VEHICLE,AIR BAGS,20020106,20040429,887709,ODI,TOYOTA MOTOR CORPORATION,20130313,-0.080849041
97953,97954,13V383000,,LEXUS,HS 250 HYBRID,2010,Toyota Motor Engineering & Manufacturing,VEHICLE,SUSPENSION:REAR,20051001,20100831,780584,ODI,TOYOTA MOTOR CORPORATION,20130827,-0.178533351
98652,98653,13V442000,,TOYOTA,VENZA,2013,Toyota Motor Engineering & Manufacturing,VEHICLE,ELECTRICAL SYSTEM,20120509,20130530,802769,MFR,TOYOTA MOTOR CORPORATION,20140205,0.144449526
97974,97975,13V429000,,TOYOTA,SIENNA,2009,Toyota Motor Engineering & Manufacturing,VEHICLE,POWER TRAIN:AUTOMATIC TRANSMISSION,20070220,20081212,614722,MFR,TOYOTA MOTOR CORPORATION,20140227,0.133184718
101623,101624,14V053000,,TOYOTA,PRIUS,2014,Toyota Motor Engineering & Manufacturing,VEHICLE,ELECTRICAL SYSTEM: SOFTWARE,20090331,20140117,698457,MFR,TOYOTA MOTOR CORPORATION,20140321,0.267392553
