Date	Price
1972 6 1	0.335125
1972 6 2	0.334494
1972 6 5	0.334494
1972 6 6	0.330707
1972 6 7	0.328814
1972 6 8	0.326289
1972 6 9	0.324396
1972 6 12	0.324396
1972 6 13	0.32692
1972 6 14	0.331969
1972 6 15	0.330707
1972 6 16	0.331969
1972 6 19	0.330076
1972 6 20	0.331338
1972 6 21	0.328183
1972 6 22	0.326289
1972 6 23	0.325658
1972 6 26	0.324396
1972 6 27	0.32692
1972 6 28	0.326289
1972 6 29	0.325027
1972 6 30	0.322502
1972 7 3	0.32124
1972 7 5	0.319347
1972 7 6	0.323134
1972 7 7	0.321871
1972 7 10	0.318085
1972 7 11	0.316191
1972 7 12	0.313667
1972 7 13	0.313667
1972 7 14	0.313036
1972 7 17	0.313036
1972 7 18	0.316191
1972 7 19	0.318085
1972 7 20	0.313667
1972 7 21	0.318085
1972 7 24	0.32692
1972 7 25	0.329089
1972 7 26	0.327814
1972 7 27	0.326538
1972 7 28	0.329727
1972 7 31	0.329727
1972 8 1	0.329727
1972 8 2	0.334191
1972 8 3	0.339931
1972 8 4	0.341207
1972 8 7	0.341845
1972 8 8	0.340569
1972 8 9	0.335467
1972 8 10	0.336105
1972 8 11	0.338656
1972 8 14	0.340569
1972 8 15	0.338018
1972 8 16	0.329089
1972 8 17	0.334829
1972 8 18	0.334829
1972 8 21	0.336105
1972 8 22	0.341207
1972 8 23	0.3546
1972 8 24	0.349498
1972 8 25	0.345033
1972 8 28	0.345033
1972 8 29	0.339293
1972 8 30	0.336742
1972 8 31	0.343758
1972 9 1	0.343758
1972 9 5	0.339293
1972 9 6	0.336742
1972 9 7	0.338018
1972 9 8	0.33738
1972 9 11	0.336742
1972 9 12	0.332916
1972 9 13	0.334829
1972 9 14	0.334191
1972 9 15	0.334829
1972 9 18	0.334191
1972 9 19	0.332916
1972 9 20	0.330365
1972 9 21	0.322711
1972 9 22	0.325263
1972 9 25	0.3259
1972 9 26	0.327814
1972 9 27	0.332916
1972 9 28	0.33738
1972 9 29	0.339931
1972 10 2	0.340569
1972 10 3	0.335467
1972 10 4	0.334829
1972 10 5	0.332916
1972 10 6	0.332916
1972 10 9	0.334191
1972 10 10	0.336742
1972 10 11	0.336105
1972 10 12	0.333554
1972 10 13	0.328451
1972 10 16	0.326538
1972 10 17	0.325263
1972 10 18	0.326538
1972 10 19	0.324625
1972 10 20	0.330365
1972 10 23	0.331002
1972 10 24	0.336105
1972 10 25	0.337652
1972 10 26	0.338296
1972 10 27	0.341518
1972 10 30	0.340229
1972 10 31	0.341518
1972 11 1	0.34925
1972 11 2	0.358916
1972 11 3	0.371159
1972 11 6	0.375025
1972 11 8	0.373092
1972 11 9	0.380825
1972 11 10	0.38598
1972 11 13	0.382113
1972 11 14	0.388557
1972 11 15	0.38598
1972 11 16	0.391779
1972 11 17	0.401445
1972 11 20	0.402733
1972 11 21	0.405955
1972 11 22	0.403378
1972 11 24	0.399511
1972 11 27	0.393068
1972 11 28	0.386624
1972 11 29	0.384046
1972 11 30	0.388557
1972 12 1	0.39049
1972 12 4	0.392423
1972 12 5	0.4008
1972 12 6	0.401445
1972 12 7	0.404022
1972 12 8	0.399511
1972 12 11	0.403378
1972 12 12	0.400156
1972 12 13	0.399511
1972 12 14	0.4008
1972 12 15	0.394356
1972 12 18	0.380825
1972 12 19	0.383402
1972 12 20	0.382113
1972 12 21	0.382113
1972 12 22	0.389201
1972 12 26	0.398223
1972 12 27	0.407244
1972 12 29	0.410466
1973 1 2	0.407244
1973 1 3	0.402733
1973 1 4	0.413043
1973 1 5	0.413043
1973 1 8	0.415621
1973 1 9	0.412399
1973 1 10	0.409177
1973 1 11	0.414976
1973 1 12	0.405311
1973 1 15	0.404022
1973 1 16	0.400156
1973 1 17	0.401445
1973 1 18	0.394356
1973 1 19	0.393068
1973 1 22	0.389201
1973 1 23	0.389592
1973 1 24	0.38699
1973 1 26	0.38699
1973 1 29	0.38569
1973 1 30	0.38569
1973 1 31	0.38634
1973 2 1	0.366828
1973 2 2	0.366828
1973 2 5	0.364226
1973 2 6	0.362925
1973 2 7	0.360974
1973 2 8	0.359673
1973 2 9	0.364226
1973 2 12	0.364226
1973 2 13	0.37073
1973 2 14	0.361625
1973 2 15	0.355771
1973 2 16	0.363576
1973 2 20	0.365527
1973 2 21	0.361625
1973 2 22	0.360324
1973 2 23	0.351218
1973 2 26	0.347316
1973 2 27	0.341462
1973 2 28	0.343413
1973 3 1	0.340161
1973 3 2	0.346015
1973 3 5	0.342113
1973 3 6	0.346015
1973 3 7	0.349267
1973 3 8	0.344064
1973 3 9	0.342763
1973 3 12	0.340161
1973 3 13	0.340812
1973 3 14	0.339511
1973 3 15	0.33756
1973 3 16	0.335608
1973 3 19	0.327804
1973 3 20	0.328454
1973 3 21	0.323901
1973 3 22	0.319999
1973 3 23	0.3226
1973 3 26	0.3226
1973 3 27	0.325852
1973 3 28	0.326503
1973 3 29	0.334308
1973 3 30	0.329755
1973 4 2	0.328454
1973 4 3	0.324552
1973 4 4	0.323251
1973 4 5	0.319999
1973 4 6	0.3213
1973 4 9	0.331706
1973 4 10	0.333007
1973 4 11	0.344714
1973 4 12	0.339511
1973 4 13	0.336909
1973 4 16	0.329104
1973 4 17	0.334308
1973 4 18	0.334308
1973 4 19	0.341462
1973 4 23	0.336909
1973 4 24	0.328099
1973 4 25	0.322839
1973 4 26	0.324811
1973 4 27	0.316921
1973 4 30	0.322839
1973 5 1	0.320866
1973 5 2	0.325469
1973 5 3	0.336647
1973 5 4	0.337304
1973 5 7	0.335332
1973 5 8	0.334674
1973 5 9	0.321524
1973 5 10	0.318894
1973 5 11	0.308374
1973 5 14	0.297853
1973 5 15	0.308374
1973 5 16	0.307716
1973 5 17	0.304428
1973 5 18	0.297853
1973 5 21	0.297853
1973 5 22	0.303113
1973 5 23	0.305743
1973 5 24	0.328099
1973 5 25	0.318236
