{{1976, 8, 18}, 11.101736}
{{1976, 8, 19}, 11.047047}
{{1976, 8, 20}, 10.992357}
{{1976, 8, 23}, 10.664227}
{{1976, 8, 24}, 10.554847}
{{1976, 8, 25}, 10.445477}
{{1976, 8, 26}, 10.445477}
{{1976, 8, 27}, 10.828296}
{{1976, 8, 30}, 10.609537}
{{1976, 8, 31}, 10.609537}
{{1976, 9, 1}, 10.664227}
{{1976, 9, 2}, 10.500166}
{{1976, 9, 3}, 10.336097}
{{1976, 9, 7}, 10.062657}
{{1976, 9, 8}, 10.117347}
{{1976, 9, 9}, 10.062657}
{{1976, 9, 10}, 10.226718}
{{1976, 9, 13}, 10.007967}
{{1976, 9, 14}, 9.953277}
{{1976, 9, 15}, 9.953277}
{{1976, 9, 16}, 9.789217}
{{1976, 9, 17}, 9.789217}
{{1976, 9, 20}, 9.789217}
{{1976, 9, 21}, 9.789217}
{{1976, 9, 22}, 9.789217}
{{1976, 9, 23}, 9.789217}
{{1976, 9, 24}, 9.789217}
{{1976, 9, 27}, 9.734527}
{{1976, 9, 28}, 9.734527}
{{1976, 9, 29}, 9.843907}
{{1976, 9, 30}, 9.789217}
{{1976, 10, 1}, 9.734527}
{{1976, 10, 4}, 9.734527}
{{1976, 10, 5}, 9.789217}
{{1976, 10, 6}, 9.843907}
{{1976, 10, 7}, 10.007967}
{{1976, 10, 8}, 10.062657}
{{1976, 10, 11}, 10.007967}
{{1976, 10, 12}, 9.789217}
{{1976, 10, 13}, 9.843907}
{{1976, 10, 14}, 9.898588}
{{1976, 10, 15}, 9.789217}
{{1976, 10, 18}, 10.117347}
{{1976, 10, 19}, 9.843907}
{{1976, 10, 20}, 9.789217}
{{1976, 10, 21}, 10.007967}
{{1976, 10, 22}, 10.062657}
{{1976, 10, 25}, 10.281408}
{{1976, 10, 26}, 10.281408}
{{1976, 10, 27}, 10.554847}
{{1976, 10, 28}, 10.773607}
{{1976, 10, 29}, 10.664227}
{{1976, 11, 1}, 10.664227}
{{1976, 11, 3}, 10.336097}
{{1976, 11, 4}, 10.281408}
{{1976, 11, 5}, 10.007967}
{{1976, 11, 8}, 10.007967}
{{1976, 11, 9}, 10.007967}
{{1976, 11, 10}, 10.007967}
{{1976, 11, 11}, 10.500166}
{{1976, 11, 12}, 10.773607}
{{1976, 11, 15}, 10.445477}
{{1976, 11, 16}, 10.226718}
{{1976, 11, 17}, 10.117347}
{{1976, 11, 18}, 10.007967}
{{1976, 11, 19}, 10.062657}
{{1976, 11, 22}, 10.336097}
{{1976, 11, 23}, 10.336097}
{{1976, 11, 24}, 10.281408}
{{1976, 11, 26}, 10.226718}
{{1976, 11, 29}, 10.226718}
{{1976, 11, 30}, 10.062657}
{{1976, 12, 1}, 10.172037}
{{1976, 12, 2}, 10.172037}
{{1976, 12, 3}, 10.664227}
{{1976, 12, 6}, 11.703307}
{{1976, 12, 7}, 12.086126}
{{1976, 12, 8}, 12.250187}
{{1976, 12, 9}, 12.195497}
{{1976, 12, 10}, 12.195497}
{{1976, 12, 13}, 12.742386}
{{1976, 12, 14}, 12.851766}
{{1976, 12, 15}, 13.234576}
{{1976, 12, 16}, 13.015826}
{{1976, 12, 17}, 13.179895}
{{1976, 12, 20}, 12.851766}
{{1976, 12, 21}, 12.797076}
{{1976, 12, 22}, 13.070516}
{{1976, 12, 23}, 13.781466}
{{1976, 12, 27}, 14.984607}
{{1976, 12, 28}, 14.929917}
{{1976, 12, 29}, 14.875226}
{{1976, 12, 30}, 14.929917}
{{1976, 12, 31}, 14.929917}
{{1977, 1, 3}, 14.984607}
{{1977, 1, 4}, 14.328346}
{{1977, 1, 5}, 14.656476}
{{1977, 1, 6}, 14.109595}
{{1977, 1, 7}, 13.890837}
{{1977, 1, 10}, 14.218967}
{{1977, 1, 11}, 13.726776}
{{1977, 1, 12}, 13.617396}
{{1977, 1, 13}, 14.383036}
{{1977, 1, 14}, 14.328346}
{{1977, 1, 17}, 13.781466}
{{1977, 1, 18}, 13.562707}
